,_id,local,municipio,bairro,endereco,cep
0,67bf9e83f414a80755bb6b2d,CASA DE RUI BARBOSA,RIO DE JANEIRO,BOTAFOGO,RUA SÃO CLEMENTE 134,22260000
1,67bf9e83f414a80755bb6b2e,COLEGIO LOGOSÓFICO GONZÁLEZ PECOTCHE,RIO DE JANEIRO,BOTAFOGO,"RUA GENERAL POLIDORO, 36",22290020
2,67bf9e83f414a80755bb6b2f,COLÉGIO SANTO INÁCIO,RIO DE JANEIRO,BOTAFOGO,"RUA SÃO CLEMENTE, 226",22260000
3,67bf9e83f414a80755bb6b30,ESCOLA ALEMÃ CORCOVADO,RIO DE JANEIRO,BOTAFOGO,"RUA SÃO CLEMENTE, 388",22260000
4,67bf9e83f414a80755bb6b31,ESCOLA JOAQUIM NABUCO,RIO DE JANEIRO,BOTAFOGO,RUA DONA MARIANA 148,22280020
5,67bf9e83f414a80755bb6b32,ESCOLA MEXICO,RIO DE JANEIRO,BOTAFOGO,RUA DA MATRIZ 67,22260100
6,67bf9e83f414a80755bb6b33,ESCOLA OLM/BOTAFOGO,RIO DE JANEIRO,BOTAFOGO,"RUA VISCONDE DE CARAVELAS, 48",22271022
7,67bf9e83f414a80755bb6b34,CIEP PRESIDENTE AGOSTINHO NETO (CIEP HUMAITÁ),RIO DE JANEIRO,HUMAITA,"RUA VISCONDE DE SILVA, S/N",22271090
8,67bf9e83f414a80755bb6b35,COLÉGIO PEDRO II (PEDRÃO),RIO DE JANEIRO,HUMAITA,"RUA HUMAITÁ, 80",22261001
9,67bf9e83f414a80755bb6b36,COLÉGIO PENSI,RIO DE JANEIRO,FLAMENGO,"RUA MARQUÊS DE ABRANTES, 55",22230060
10,67bf9e83f414a80755bb6b37,INSTITUTO DOS ARQUITETOS DO BRASIL,RIO DE JANEIRO,FLAMENGO,"RUA DO PINHEIRO, 10",22210060
11,67bf9e83f414a80755bb6b38,INSTITUTO NOSSA SENHORA DA PIEDADE,RIO DE JANEIRO,FLAMENGO,"RUA FERNANDO OSORIO, 24",22230040
12,67bf9e83f414a80755bb6b39,ALIANÇA FRANCESA DE BOTAFOGO,RIO DE JANEIRO,BOTAFOGO,RUA MUNIZ BARRETO 746 / 746-A,22251090
13,67bf9e83f414a80755bb6b3a,ESCOLA DINAMIS,RIO DE JANEIRO,BOTAFOGO,RUA BAMBINA 59,22251050
14,67bf9e83f414a80755bb6b3b,ESCOLA MUNICIPAL PRESIDENTE ARTHUR DA COSTA E SILVA,RIO DE JANEIRO,BOTAFOGO,RUA ASSUNCAO 257,22251030
15,67bf9e83f414a80755bb6b3c,FUNDAÇÃO GETÚLIO VARGAS,RIO DE JANEIRO,BOTAFOGO,PRAIA DE BOTAFOGO 186,22250040
16,67bf9e83f414a80755bb6b3d,INSTITUTO BRASIL ESTADOS UNIDOS,RIO DE JANEIRO,BOTAFOGO,RUA VISCONDE DE OURO PRETO 36,22250180
17,67bf9e83f414a80755bb6b3e,COLÉGIO IMACULADA CONCEIÇÃO,RIO DE JANEIRO,BOTAFOGO,PRAIA DE BOTAFOGO 266,22250040
18,67bf9e83f414a80755bb6b3f,ESCOLA BRITÂNICA,RIO DE JANEIRO,URCA,AVENIDA PASTEUR 429,22290240
19,67bf9e83f414a80755bb6b40,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO UNI-RIO,RIO DE JANEIRO,URCA,"AV. PASTEUR, 296",22290240
20,67bf9e83f414a80755bb6b41,CASA DO COMÉRCIO (FECOMÉRCIO/ SENAC RIO/ SESC RIO),RIO DE JANEIRO,FLAMENGO,"RUA MARQUÊS DE ABRANTES, 99",22230060
21,67bf9e83f414a80755bb6b42,CENTRO UNIVERSITÁRIO UNIVERITAS,RIO DE JANEIRO,FLAMENGO,"RUA MARQUÊS DE ABRANTES, 55",22230060
